Source,ProductTypeDes,Target,Volume
European Union (28),Automotive products,Other Africa,11147224000
European Union (28),Automotive products,Other Asia,3557010000
European Union (28),Automotive products,Other CIS (CIS11),2314483000
European Union (28),Automotive products,Other Europe,36136792000
European Union (28),Automotive products,Russian Federation,8364766000
European Union (28),Automotive products,South Africa,6073396000
European Union (28),Automotive products,South and Central America,7578121000
European Union (28),Automotive products,United States,61720286000
European Union (28),Other transport equipment,Africa,6115620000
European Union (28),Other transport equipment,Asia,38449691000
European Union (28),Other transport equipment,Australia and New Zealand,2204337000
European Union (28),Other transport equipment,Brazil,4667964000
European Union (28),Other transport equipment,China,13327539000
European Union (28),Other transport equipment,Commonwealth of Independent States (CIS),3317139000
European Union (28),Other transport equipment,Europe,167353544000
European Union (28),Other transport equipment,European Union (28),154650087000
European Union (28),Other transport equipment,Four East Asian traders,8525782000
European Union (28),Other transport equipment,India,2145602000
European Union (28),Other transport equipment,Japan,1851534000
European Union (28),Other transport equipment,Mexico,2167510000
European Union (28),Other transport equipment,Middle East,16760849000
European Union (28),Other transport equipment,North America,32896427000
European Union (28),Other transport equipment,Other Africa,5077993000
European Union (28),Other transport equipment,Other Asia,10394897000
European Union (28),Other transport equipment,Other CIS (CIS11),1050888000
European Union (28),Other transport equipment,Other Europe,12703457000
European Union (28),Other transport equipment,Russian Federation,2266251000
European Union (28),Other transport equipment,South Africa,1037627000
European Union (28),Other transport equipment,South and Central America,10471781000
European Union (28),Other transport equipment,United States,27708793000
Four East Asian traders,Machinery and transport equipment,Africa,8394465745
Four East Asian traders,Machinery and transport equipment,Asia,421857099236
Four East Asian traders,Machinery and transport equipment,Australia and New Zealand,10327626342
Four East Asian traders,Machinery and transport equipment,Brazil,5218684653
Four East Asian traders,Machinery and transport equipment,China,168618755486
Four East Asian traders,Machinery and transport equipment,Commonwealth of Independent States (CIS),5734368865
Four East Asian traders,Machinery and transport equipment,Europe,68787808883
Four East Asian traders,Machinery and transport equipment,European Union (28),58660890240
Four East Asian traders,Machinery and transport equipment,Four East Asian traders,105813281885
Four East Asian traders,Machinery and transport equipment,India,11187096778
Four East Asian traders,Machinery and transport equipment,Japan,28765446850
Four East Asian traders,Machinery and transport equipment,Mexico,8259396399
Four East Asian traders,Machinery and transport equipment,Middle East,23999163491
Four East Asian traders,Machinery and transport equipment,North America,98148641749
Four East Asian traders,Machinery and transport equipment,Other Africa,7024672424
Four East Asian traders,Machinery and transport equipment,Other Asia,97144891896
Four East Asian traders,Machinery and transport equipment,Other CIS (CIS11),1933259706
Four East Asian traders,Machinery and transport equipment,Other Europe,10126918644
Four East Asian traders,Machinery and transport equipment,Russian Federation,3801109159
Four East Asian traders,Machinery and transport equipment,South Africa,1369793321
Four East Asian traders,Machinery and transport equipment,South and Central America,13421538406
Four East Asian traders,Machinery and transport equipment,United States,83053830652
Four East Asian traders,Automotive products,Africa,2409878793
Four East Asian traders,Automotive products,Asia,18001572763
Four East Asian traders,Automotive products,Australia and New Zealand,2823034050
Four East Asian traders,Automotive products,Brazil,1300288363
Four East Asian traders,Automotive products,China,8022882852
Four East Asian traders,Automotive products,Commonwealth of Independent States (CIS),2796191049
Four East Asian traders,Automotive products,Europe,11475178408
Four East Asian traders,Automotive products,European Union (28),10317367438
Four East Asian traders,Automotive products,Four East Asian traders,186106194
Four East Asian traders,Automotive products,India,1251014050
Four East Asian traders,Automotive products,Japan,1212115168
Four East Asian traders,Automotive products,Mexico,1605512679
Four East Asian traders,Automotive products,Middle East,9792814449
Four East Asian traders,Automotive products,North America,31012720326
Four East Asian traders,Automotive products,Other Africa,1772637725
Four East Asian traders,Automotive products,Other Asia,4506420449
Four East Asian traders,Automotive products,Other CIS (CIS11),939804813
Four East Asian traders,Automotive products,Other Europe,1157810971
Four East Asian traders,Automotive products,Russian Federation,1856386236
Four East Asian traders,Automotive products,South Africa,637241068
Four East Asian traders,Automotive products,South and Central America,5005115987
Four East Asian traders,Automotive products,United States,27075175241
Four East Asian traders,Other transport equipment,Africa,2310097329
Four East Asian traders,Other transport equipment,Asia,26228603673
Four East Asian traders,Other transport equipment,Australia and New Zealand,2083792348
Four East Asian traders,Other transport equipment,Brazil,264027631
Four East Asian traders,Other transport equipment,China,4336977011
Four East Asian traders,Other transport equipment,Commonwealth of Independent States (CIS),346510156
Four East Asian traders,Other transport equipment,Europe,20149805646
Four East Asian traders,Other transport equipment,European Union (28),13925935156
Four East Asian traders,Other transport equipment,Four East Asian traders,6497660494
Four East Asian traders,Other transport equipment,India,590431871
Four East Asian traders,Other transport equipment,Japan,1370071119
Four East Asian traders,Other transport equipment,Mexico,694802184
Four East Asian traders,Other transport equipment,Middle East,893553512
Four East Asian traders,Other transport equipment,North America,8169120669
Four East Asian traders,Other transport equipment,Other Africa,2235949882
Four East Asian traders,Other transport equipment,Other Asia,11349670830
Four East Asian traders,Other transport equipment,Other CIS (CIS11),184350778
Four East Asian traders,Other transport equipment,Other Europe,6223870490
Four East Asian traders,Other transport equipment,Russian Federation,162159378
Four East Asian traders,Other transport equipment,South Africa,74147447
Four East Asian traders,Other transport equipment,South and Central America,2161870146
Four East Asian traders,Other transport equipment,United States,5115926555
Japan,Machinery and transport equipment,Africa,5414377000
Japan,Machinery and transport equipment,Asia,170195104000
Japan,Machinery and transport equipment,Australia and New Zealand,9720879000
Japan,Machinery and transport equipment,Brazil,2506762000
Japan,Machinery and transport equipment,China,54460388000
Japan,Machinery and transport equipment,Commonwealth of Independent States (CIS),4657389000
Japan,Machinery and transport equipment,Europe,45653806000
Japan,Machinery and transport equipment,European Union (28),42692118000
Japan,Machinery and transport equipment,Four East Asian traders,57417051000
Japan,Machinery and transport equipment,India,3470826000
Japan,Machinery and transport equipment,Mexico,7255301000
Japan,Machinery and transport equipment,Middle East,21156590000
Japan,Machinery and transport equipment,North America,105681068000
Japan,Machinery and transport equipment,Other Africa,3300710000
Japan,Machinery and transport equipment,Other Asia,45125960000
Japan,Machinery and transport equipment,Other CIS (CIS11),721907000
Japan,Machinery and transport equipment,Other Europe,2961688000
Japan,Machinery and transport equipment,Russian Federation,3935482000
Japan,Machinery and transport equipment,South Africa,2113667000
Japan,Machinery and transport equipment,South and Central America,8829223000
Japan,Machinery and transport equipment,United States,92306654000
Japan,Automotive products,Africa,3932594000
Japan,Automotive products,Asia,37231990000
Japan,Automotive products,Australia and New Zealand,7493942000
Japan,Automotive products,Brazil,994709000
Japan,Automotive products,China,10633473000
Japan,Automotive products,Commonwealth of Independent States (CIS),3386767000
Japan,Automotive products,Europe,16732044000
Japan,Automotive products,European Union (28),15204184000
Japan,Automotive products,Four East Asian traders,5417750000
Japan,Automotive products,India,564860000
Japan,Automotive products,Mexico,3566887000
Japan,Automotive products,Middle East,16771262000
Japan,Automotive products,North America,53858549000
Japan,Automotive products,Other Africa,2343762000
Japan,Automotive products,Other Asia,13121965000
Japan,Automotive products,Other CIS (CIS11),413598000
Japan,Automotive products,Other Europe,1527860000
Japan,Automotive products,Russian Federation,2973169000
Japan,Automotive products,South Africa,1588832000
Japan,Automotive products,South and Central America,4758488000
Japan,Automotive products,United States,46062568000
Japan,Other transport equipment,Africa,219830000
Japan,Other transport equipment,Asia,9962460000
Japan,Other transport equipment,Australia and New Zealand,309883000
Japan,Other transport equipment,Brazil,418795000
Japan,Other transport equipment,China,1575101000
Japan,Other transport equipment,Commonwealth of Independent States (CIS),98336000
Japan,Other transport equipment,Europe,3932099000
Japan,Other transport equipment,European Union (28),3788865000
Japan,Other transport equipment,Four East Asian traders,3822644000
Japan,Other transport equipment,India,167989000
Japan,Other transport equipment,Mexico,327429000
Japan,Other transport equipment,Middle East,425266000
Japan,Other transport equipment,North America,10079368000
Japan,Other transport equipment,Other Africa,171947000
Japan,Other transport equipment,Other Asia,4086843000
Japan,Other transport equipment,Other CIS (CIS11),10725000
Japan,Other transport equipment,Other Europe,143234000
Japan,Other transport equipment,Russian Federation,87611000
